Date_reported,New_cases,Cumulative_cases
2020-01-06,0.0,0.0
2020-01-13,0.0,0.0
2020-01-20,0.0,0.0
2020-01-27,1.0,1.0
2020-02-03,3.0,4.0
2020-02-10,3.0,7.0
2020-02-17,1.0,8.0
2020-02-24,1.0,9.0
2020-03-02,6.0,15.0
2020-03-09,42.0,57.0
2020-03-16,136.0,193.0
2020-03-23,1109.0,1302.0
2020-03-30,4084.0,5386.0
2020-04-06,8496.0,13882.0
2020-04-13,9419.0,23301.0
2020-04-20,10039.0,33340.0
2020-04-27,12001.0,45341.0
2020-05-04,11362.0,56703.0
2020-05-11,10987.0,67690.0
2020-05-18,8163.0,75853.0
2020-05-25,7757.0,83610.0
2020-06-01,6569.0,90179.0
2020-06-08,4867.0,95046.0
2020-06-15,3353.0,98399.0
2020-06-22,2609.0,101008.0
2020-06-29,2013.0,103021.0
2020-07-06,2284.0,105305.0
2020-07-13,2030.0,107335.0
2020-07-20,2653.0,109988.0
2020-07-27,3555.0,113543.0
2020-08-03,3042.0,116585.0
2020-08-10,2621.0,119206.0
2020-08-17,2683.0,121889.0
2020-08-24,2740.0,124629.0
2020-08-31,3044.0,127673.0
2020-09-07,3822.0,131495.0
2020-09-14,4646.0,136141.0
2020-09-21,6633.0,142774.0
2020-09-28,8897.0,151671.0
2020-10-05,12800.0,164471.0
2020-10-12,15708.0,180179.0
2020-10-19,16142.0,196321.0
2020-10-26,17638.0,213959.0
2020-11-02,21485.0,235444.0
2020-11-09,24611.0,260055.0
2020-11-16,32530.0,292585.0
2020-11-23,33839.0,326424.0
2020-11-30,39136.0,365560.0
2020-12-07,44007.0,409567.0
2020-12-14,45982.0,455549.0
2020-12-21,46689.0,502238.0
2020-12-28,45132.0,547370.0
2022-01-03,131957.0,2234427.0
2022-01-10,288771.0,2523198.0
2022-01-17,226109.0,2749307.0
2022-01-24,164015.0,2913322.0
2022-01-31,118222.0,3031544.0
2022-02-07,90293.0,3121837.0
2022-02-14,70207.0,3192044.0
2022-02-21,49813.0,3241857.0
2022-02-28,41354.0,3283211.0
2022-03-07,39725.0,3322936.0
2022-03-14,38739.0,3361675.0
2022-03-21,39128.0,3400803.0
2022-03-28,43133.0,3443936.0
2022-04-04,58425.0,3502361.0
2022-04-11,70473.0,3572834.0
2022-04-18,66581.0,3639415.0
2022-04-25,64446.0,3703861.0
2022-05-02,51844.0,3755705.0
2022-05-09,39350.0,3795055.0
2022-05-16,30467.0,3825522.0
2022-05-23,23681.0,3849203.0
2022-05-30,17776.0,3866979.0
2022-06-06,13661.0,3880640.0
2022-06-13,11769.0,3892409.0
2022-06-18,23312.0,3915721.0
2022-06-25,15463.0,3931184.0
2022-07-02,17752.0,3948936.0
2022-07-09,22662.0,3971598.0
2022-07-16,27557.0,3999155.0
2022-07-23,32435.0,4031590.0
2022-07-30,33319.0,4064909.0
2022-08-06,28849.0,4093758.0
2022-08-13,25692.0,4119450.0
2022-08-20,23906.0,4143356.0
2022-08-27,23082.0,4166438.0
2022-09-03,21086.0,4187524.0
2022-09-10,18478.0,4206002.0
2022-09-17,16726.0,4222728.0
2022-09-24,17558.0,4240286.0
2022-10-01,18643.0,4258929.0
2022-10-08,19634.0,4278563.0
2022-10-15,20412.0,4298975.0
2022-10-22,21454.0,4320429.0
2022-10-29,21359.0,4341788.0
2022-11-05,20964.0,4362752.0
2022-11-12,18396.0,4381148.0
2022-11-19,15289.0,4396437.0
2022-11-26,14582.0,4411019.0
2022-12-03,15134.0,4426153.0
2022-12-10,16209.0,4442362.0
2022-12-17,16625.0,4458987.0
2022-12-24,17398.0,4476385.0
2022-12-31,16395.0,4492780.0
